name,rank,area
Yagiz Aksoy,Assistant Professor," Computational photography, computer graphics, computer vision and deep learning
"
Brad Bart,Senior Lecturer," Instruction
"
Angel Chang,Assistant Professor," Natural Language Processing, Artificial Intelligence, Computer Graphics, Computer Vision"
Sheelagh Carpendale,Professor, Information Visualization
Leonid Chindelevitch,Associate Professor, Computational Biology
Diana Cukierman,University Lecturer," Instruction
"
James P. Delgrande,Professor," Formal Aspects of Knowledge Representation
"
Toby Donaldson,Senior Lecturer," Instruction
"
John Edgar,Senior Lecturer," Instruction
"
Martin Ester,Professor," Databases and Data Mining
"
Brian Fraser,Senior Lecturer," Instruction
"
Yasutaka Furukawa,Associate Professor," Computer Vision, Deep Learning, Computer Graphics & Computational Photography"
Uwe Glässer,Professor," Software Technology, Distributed Communication Architectures
"
Mohamed Hefeeda,Professor," Computer Networks, Multimedia Communications
"
Harinder Singh Khangura,Senior Lecturer," Instruction
"
Anne Lavergne,Senior Lecturer," Instruction
"
Maxwell Libbrecht,Assistant Professor, Computational Biology and Machine Learning
Jiangchuan (Jc) Liu,Professor," Networking and multimedia communications
"
David Mitchell,Associate Professor," Constraint satisfaction, Algorithms for deduction and other reasoning tasks
"
Jian Pei,Professor," Databases and Data Mining
"
Fred Popowich,Professor,Computational Linguistics and Logic Programming
Arrvindh Shriraman,Associate Professor," Systems architecture, hardware-software interactions, parallelism, sychronization and imporoving software reliability within specialized fields."
William (Nick) Sumner,Associate Professor," Automated debugging, debugging tools, concurrency & parallelism, program analysis & transformation
"
Manolis Savva,Assistant Professor," Computer Graphics, Computer Vision, Deep Learning"
Igor Shinkar,Assistant Professor, Computational complexity
Ping Tan,Associate Professor," Computer Vision, Computer Graphics, Robotics"
Eugenia Ternovska,Associate Professor," Logical aspects of AI, Knowledge Representation and Reasoning, Efficient Reasoning, Descriptive Complexity and Formal Verification.  "
Keval Vora,Assistant Professor," Parallel & Distributed Computing, Irregular Big Data Processing and High Performance Computing"
Ke Wang,Professor," Databases, Data Mining"
Tianzheng Wang,Assistant Professor," Database Systems, Parallel and Distributed Systems, Concurency, Embedded Systems"
Kay C. Wiese,Associate Professor," Bioinformatics, Evolutionary Computation, Computational Intelligence, Visualization"
Kangkang Yin,Associate Professor," Computer Animation, Computer Graphics, Humanoid Robotics, Machine Learning, Multimedia Analysis
"
Saba Alimadadi,Assistant Professor, Software engineering
Greg Baker,University Lecturer," Instruction
"
Andrei Bulatov,Professor," Constraint Satisfaction, Complexity of Computation
"
Bobby Chan,Lecturer," Instruction
"
Binay Bhattacharya,Professor," Computational Geometry, Pattern Recognition
"
Ouldooz Baghban Karimi,Lecturer, Data & Networks
Robert D. Cameron,Professor," Software Engineering Languages; Electronic Publication
"
Mo Chen,Assistant Professor,"  Robotics and Autonomous Systems
"
Parmit Chilana,Assistant Professor," Human-Computer Interaction
"
Ryan C.N. D'Arcy,Professor," Neuroscience
"
Mark S. Drew,Professor," Computer Vision
"
Brian Funt,Professor, Computational Color Vision
Qianping Gu,Professor," Network Communications and Algorithms
"
Ghassan Hamarneh,Professor," Medical Image Analysis (Computational/Artificial Intelligence, Computer Vision, Image Processing)
"
Eugene Fiume,Professor," Computer Graphics
"
Pavol Hell,Professor," Computational Combinatorics
"
Valentine Kabanets,Professor," Pseudorandomness and Derandomization, Complexity of Computation, Automata and Logic
"
Ramesh Krishnamurti,Professor," Combinatorial Optimization and Approximation Algorithms
"
Ze-Nian Li,Professor," Computer Vision, Multimedia
"
Angelica Lim,Assistant Professor Of Professional Practice," Human Robot Interaction
"
Hang Ma,Assistant Professor," Artificial Intelligence, Robotics, Multi-Agent/Robot Systems, Machine Learning"
Greg Mori,Professor," Computer Vision, Machine Learning
"
Steven Pearce,Lecturer," Instruction, Computational Applied Mathematics
"
Joseph G. Peters,Professor," Network Communications
"
Janice Regan,Senior Lecturer," Instruction
"
Anoop Sarkar,Professor," Computational Linguistics; Machine Learning; Probabilistic Grammars and Formal language theory
"
Thomas C. Shermer,Professor," Computational Geometry and Computer Graphics
"
Oliver Schulte,Professor," Machine Learning, Computational Logic, Computational Decision Theory
"
Richard Vaughan,Professor, Robotics and Autonomous Systems
Jiannan Wang,Assistant Professor, Database Systems and Big Data
Cynthia Xie,Senior Lecturer, Mandarin Chinese Instruction for the Dual Degree Program
Richard (Hao) Zhang,Professor, Computer Graphics; Geometric Modelling
