name,grad_year
Yagiz Aksoy,2011
Brad Bart,1996
Angel Chang,
Sheelagh Carpendale,
Leonid Chindelevitch,
Diana Cukierman,
James P. Delgrande,1977
Toby Donaldson,1998
John Edgar,1984
Martin Ester,1984
Brian Fraser,2002
Yasutaka Furukawa,
Uwe Glässer,1987
Mohamed Hefeeda,1994
Harinder Singh Khangura,1997
Anne Lavergne,1991
Maxwell Libbrecht,
Jiangchuan (Jc) Liu,1999
David Mitchell,1989
Jian Pei,1991
Fred Popowich,1991
Arrvindh Shriraman,
William (Nick) Sumner,2005
Manolis Savva,
Igor Shinkar,
Ping Tan,
Eugenia Ternovska,2002
Keval Vora,2002
Ke Wang,1984
Tianzheng Wang,
Kay C. Wiese,1991
Kangkang Yin,
Saba Alimadadi,2017
Greg Baker,1998
Andrei Bulatov,1991
Bobby Chan,2005
Binay Bhattacharya,1982
Ouldooz Baghban Karimi,
Robert D. Cameron,1977
Mo Chen,
Parmit Chilana,
Ryan C.N. D'Arcy,
Mark S. Drew,1970
Brian Funt,1970
Qianping Gu,1982
Ghassan Hamarneh,1995
Eugene Fiume,
Pavol Hell,1968
Valentine Kabanets,
Ramesh Krishnamurti,1987
Ze-Nian Li,1986
Angelica Lim,
Hang Ma,2012
Greg Mori,1999
Steven Pearce,1981
Joseph G. Peters,1974
Janice Regan,1979
Anoop Sarkar,1991
Thomas C. Shermer,1984
Oliver Schulte,1992
Richard Vaughan,1993
Jiannan Wang,
Cynthia Xie,
Richard (Hao) Zhang,1995
